"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"03/13/2015","07:18:49","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","8184","535","","56117","2530613","29","45","98","85","8","1","0","5","0","3093","","","","11165","","","","","0","","","2","0","8184","","","1","71","88","-1","100","-1","98","-1","-1","100","29871","2442117","14","26","66","62","2","1","0","0","100","","","-1","","","","562","200","1446707","0","","","468053","0","0","1","","896","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","689","7934","8397","2602","2861","10893","Google Chrome","41.0.2272.89","1","43","Akamai","0","1","0","4461",
"03/13/2015","07:19:08","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","2982","928","","39616","876490","5","8","58","50","3","2","0","3","0","2079","","","","6426","","","","","0","","","2","0","2982","","","1","73","92","-1","97","-1","100","-1","-1","100","6942","177728","1","1","8","7","1","0","0","0","100","","","-1","","","","962","200","191478","4678","","","276635","0","0","1","","1237","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1176","2922","3320","2732","2922","6380","Google Chrome","41.0.2272.89","1","43","Akamai","0","1","0","4461",
"03/13/2015","07:19:22","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","5886","1963","","48012","2203762","0","5","50","43","3","2","0","2","0","2992","","","","9137","","","","","0","","","2","0","5886","","","1","70","93","-1","100","-1","100","-1","-1","100","22132","678356","0","3","19","17","0","2","0","0","100","","","-1","","","","2086","200","192582","0","","","28485","0","0","1","","1829","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","2189","5828","6475","2949","3159","5592","Google Chrome","41.0.2272.89","1","43","Akamai","0","1","0","4461",
"03/13/2015","07:19:38","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","6131","948","","42865","2144920","7","12","54","46","3","3","0","2","0","2086","","","","9616","","","","","0","","","2","0","6131","","","1","65","93","-1","100","-1","100","-1","-1","100","21257","1067850","2","3","30","28","0","2","0","0","100","","","-1","","","","1067","200","670549","0","","","105162","0","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","1285","6000","6682","2139","2333","8386","Google Chrome","41.0.2272.89","1","42","Akamai","0","1","0","4461",
"03/13/2015","07:20:00","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","2619","866","","24159","19944","7","5","21","13","4","2","0","2","0","1078","","","","3969","","","","","0","","","2","0","2619","","","1","5","0","-1","100","-1","100","-1","-1","100","9807","3699","3","2","6","4","0","2","0","0","-1","","","-1","","","","866","200","2972","0","","","0","0","0","1","","894","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","274","2424","3244","933","1135","3480","Google Chrome","41.0.2272.89","8","40","","0","1","0","4461",
"03/13/2015","07:20:10","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","2156","1489","","20984","11309","6","3","21","12","2","2","0","5","0","1589","","","","4487","","","","","0","","","2","0","2156","","","1","0","0","-1","100","-1","100","-1","-1","100","2170","2441","2","1","3","3","0","0","0","0","-1","","","-1","","","","1489","200","2798","0","","","0","0","0","1","","1251","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1086","2153","2454","1972","2135","4391","Google Chrome","41.0.2272.89","12","40","","0","1","0","4461",
"03/13/2015","07:20:22","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1230pmsl_gp","4302","692","","21114","11385","0","2","18","11","3","2","0","4","0","767","","","","4448","","","","","0","","","2","0","4302","","","1","0","0","-1","100","-1","100","-1","-1","100","13328","7164","0","2","18","11","3","2","0","0","-1","","","-1","","","","692","200","3475","0","","","0","0","0","1","","1843","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","265","3583","4610","1655","1843","4667","Google Chrome","41.0.2272.89","12","40","","0","1","0","4461",
"03/13/2015","07:20:35","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1230pmsl_pp","3015","760","","23785","29617","0","3","23","16","3","2","0","2","0","869","","","","5345","","","","","0","","","2","0","3015","","","1","0","50","-1","100","-1","100","-1","-1","100","8060","4015","0","1","7","4","1","2","0","0","-1","","","-1","","","","760","200","13130","0","","","0","0","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","166","3343","3960","1374","1755","4569","Google Chrome","41.0.2272.89","12","40","","0","1","0","4461",
"03/13/2015","07:27:35","","http://www.sony.co.uk/?perf=13Mar1230pmsl_hp","8002","1312","","55155","2639648","29","46","97","86","8","1","0","2","0","3991","","","","10966","","","","","0","","","2","0","8002","","","1","71","88","-1","100","-1","98","-1","-1","100","27557","2524376","10","23","61","59","1","1","0","0","98","","","-1","","","","1340","200","1447426","0","","","576483","11329","0","1","","897","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","1588","7760","8192","3336","3624","10992","Google Chrome","41.0.2272.89","1","41","Akamai","0","2","0","3307",
"03/13/2015","07:27:54","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1230pmsl_cp","0","0","","2552","0","0","0","1","0","0","0","0","1","99999","0","","","","0","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","2552","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","-2","0","0","","","0","0","0","1","","52","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","1","40","","0","2","0","3307",
