"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"03/13/2015","10:54:41","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","18307","1083","","52873","2349070","29","45","92","81","8","1","0","2","0","7393","","","","22621","","","","","0","","","2","0","18307","","","1","69","87","-1","100","-1","98","-1","-1","100","25832","2260898","10","22","57","55","1","1","0","0","100","","","-1","","","","1110","200","1446327","0","","","288106","0","0","1","","896","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","1390","18124","18640","6860","7238","21894","Google Chrome","41.0.2272.89","1","47","Akamai","0","1","0","4660",
"03/13/2015","10:55:24","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","0","0","","2087","832","0","0","0","0","0","0","0","0","0","0","","","","153","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","2087","832","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","896","","","0","18124","18640","6860","7238","0","Google Chrome","41.0.2272.89","0","","","0","1","0","4660",
"03/13/2015","10:55:32","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","0","1324","","2640","83771","0","0","1","1","0","0","0","0","0","3077","","","","1324","","","","","0","","","2","0","0","","","1","0","-1","-1","100","-1","100","-1","-1","100","2640","83771","0","0","0","0","0","0","0","0","-1","","","-1","","","","1324","200","1362","0","","","0","0","0","1","","45","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","0","0","0","0","0","3077","Google Chrome","41.0.2272.89","1","46","Akamai","0","1","0","4660",
"03/13/2015","10:55:44","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","8215","63","","47079","2851514","10","18","61","54","3","2","0","2","0","2773","","","","13971","","","","","0","","","2","0","8215","","","1","71","94","-1","99","-1","100","-1","-1","100","25791","2182577","4","7","37","35","0","2","0","0","100","","","-1","","","","891","200","678919","4678","","","95139","0","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","1270","8113","8811","2565","2770","9073","Google Chrome","41.0.2272.89","2","47","Akamai","0","1","0","4660",
"03/13/2015","10:56:07","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","3635","2277","","24359","26705","7","4","21","13","4","2","0","2","0","2287","","","","5304","","","","","0","","","2","0","3635","","","1","5","0","-1","100","-1","100","-1","-1","100","10059","4294","1","2","7","4","1","2","0","0","-1","","","-1","","","","2277","200","2927","0","","","0","0","0","1","","894","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","1784","3424","3844","2318","2424","4087","Google Chrome","41.0.2272.89","8","40","","0","1","0","4660",
"03/13/2015","10:56:20","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","1915","765","","34360","658581","2","4","52","44","3","3","0","2","0","877","","","","5360","","","","","0","","","2","0","1915","","","1","76","91","-1","100","-1","100","-1","-1","100","3529","4242","1","1","5","4","1","0","0","0","100","","","-1","","","","765","200","2715","0","","","250917","0","0","1","","1249","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","273","1879","2236","1689","1879","5275","Google Chrome","41.0.2272.89","9","40","","0","1","0","4660",
"03/13/2015","10:56:38","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","5950","2249","","26862","395538","0","3","28","11","3","2","0","24","0","2389","","","","8360","","","","","0","","","2","0","5950","","","1","55","0","-1","100","-1","100","-1","-1","100","6870","16438","0","3","28","11","3","2","0","0","-1","","","-1","","","","2249","200","3478","0","","","0","0","0","1","","1843","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","1986","3899","4747","2343","2538","5589","Google Chrome","41.0.2272.89","9","40","","0","1","0","4660",
"03/13/2015","10:56:54","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","","","55","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","0","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","0","","","0","1","0","4660",
"03/13/2015","11:04:12","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","11009","644","","52631","2348753","29","46","92","81","8","1","0","2","0","7091","","","","14794","","","","","0","","","2","0","11009","","","1","69","87","-1","100","-1","98","-1","-1","100","25123","2234790","10","23","56","54","1","1","0","0","100","","","-1","","","","672","200","1446255","0","","","288106","0","0","1","","896","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","887","10969","11360","5828","6449","14294","Google Chrome","41.0.2272.89","1","41","Akamai","0","2","0","5374",
"03/13/2015","11:04:35","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","3938","1090","","40590","845925","4","8","56","49","3","2","0","2","0","1989","","","","7691","","","","","0","","","2","0","3938","","","1","74","92","-1","97","-1","100","-1","-1","100","9034","177943","1","2","8","7","1","0","0","0","100","","","-1","","","","1131","200","186030","4678","","","250917","0","0","1","","1235","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1286","3849","4266","3458","3679","7790","Google Chrome","41.0.2272.89","1","40","Akamai","0","2","0","5374",
