"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"04/02/2015","04:02:44","","http://www.sony.co.uk/?perf=1427946604","8564","518","","49233","2644863","23","41","91","82","6","1","0","2","0","4510","","","","11440","","","","","0","","","2","0","8564","","","1","71","88","-1","100","-1","98","-1","-1","100","26122","2572475","8","23","59","57","1","1","0","0","100","","","-1","","","","546","200","1453220","0","","","557719","0","0","1","","918","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","886","8405","9119","2843","3292","10901","Google Chrome","41.0.2272.101","1","41","Akamai","0","1","0","3661",
"04/02/2015","04:03:05","","http://www.sony.co.uk/electronics/cameras?perf=1427946604","2893","511","","40361","877400","4","10","58","50","4","2","0","2","0","2082","","","","7987","","","","","0","","","2","0","2893","","","1","76","92","-1","96","-1","100","-1","-1","100","6946","177187","1","2","8","7","1","0","0","0","100","","","-1","","","","613","200","187277","5640","","","276635","0","0","1","","1237","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","776","2834","3504","2527","2833","8673","Google Chrome","41.0.2272.101","1","41","Akamai","0","1","0","3661",
"04/02/2015","04:03:23","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427946604","6568","899","","43789","2019648","0","5","49","42","3","2","0","2","0","2586","","","","10298","","","","","0","","","2","0","6568","","","1","75","93","-1","100","-1","100","-1","-1","100","22443","675779","0","3","20","17","1","2","0","0","100","","","-1","","","","953","200","190011","0","","","28485","0","0","1","","1824","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","1380","6387","7711","2290","2702","9788","Google Chrome","41.0.2272.101","1","41","Akamai","0","1","0","3661",
"04/02/2015","04:03:41","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427946604","10648","1240","","43363","2128036","9","13","55","47","3","3","0","2","0","4179","","","","15293","","","","","0","","","2","0","10648","","","1","66","93","-1","100","-1","100","-1","-1","100","20957","1387738","3","4","30","28","0","2","0","0","100","","","-1","","","","1313","200","652643","0","","","105162","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","1674","10524","11582","4126","4447","14076","Google Chrome","41.0.2272.101","1","41","Akamai","0","1","0","3661",
"04/02/2015","04:04:06","","http://www.sony.co.uk/?perf=1427946604","2829","1165","","22457","11169","3","4","18","11","3","2","0","2","0","1576","","","","4473","","","","","0","","","2","0","2829","","","1","6","0","-1","100","-1","100","-1","-1","100","12322","4649","1","2","6","4","0","2","0","0","-1","","","-1","","","","1174","200","2473","0","","","0","0","0","1","","915","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","268","2828","3463","1216","1441","3781","Google Chrome","41.0.2272.101","8","29","","0","1","0","3661",
"04/02/2015","04:04:19","","http://www.sony.co.uk/electronics/cameras?perf=1427946604","1743","1152","","21728","10970","5","3","20","13","2","2","0","3","99999","1284","","","","5094","","","","","0","","","2","0","1743","","","1","0","0","-1","100","-1","100","-1","-1","100","2140","2388","2","1","3","3","0","0","0","0","-1","","","-1","","","","1152","200","2765","0","","","0","0","0","1","","1251","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","280","1633","2142","1380","1632","5686","Google Chrome","41.0.2272.101","9","29","","0","1","0","3661",
"04/02/2015","04:04:33","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427946604","4146","1163","","20976","11422","0","2","19","12","3","2","0","2","0","1579","","","","6296","","","","","0","","","2","0","4146","","","1","0","0","-1","100","-1","100","-1","-1","100","6892","2974","0","0","5","3","0","2","0","0","-1","","","-1","","","","1163","200","3438","0","","","0","0","0","1","","1838","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","476","4168","5550","1326","1676","6494","Google Chrome","41.0.2272.101","9","29","","0","1","0","3661",
"04/02/2015","04:04:49","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427946604","5433","1055","","25324","33836","3","7","24","17","3","2","0","2","0","1202","","","","9454","","","","","0","","","2","0","5433","","","1","0","50","-1","100","-1","100","-1","-1","100","6256","3279","1","2","7","4","1","2","0","0","-1","","","-1","","","","1055","200","13102","0","","","0","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","0","5792","7041","1915","2222","7797","Google Chrome","41.0.2272.101","9","29","","0","1","0","3661",
"04/02/2015","04:11:14","","http://www.sony.co.uk/?perf=1427946604","8734","517","","48492","2609113","24","41","88","79","6","1","0","2","0","4196","","","","11073","","","","","0","","","2","0","8734","","","1","70","87","-1","100","-1","98","-1","-1","100","25565","2514282","9","22","57","55","1","1","0","0","100","","","-1","","","","556","200","1452395","0","","","557719","0","0","1","","917","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","897","8638","9385","2852","3291","11402","Google Chrome","41.0.2272.101","1","39","Akamai","0","2","0","5676",
"04/02/2015","04:11:35","","http://www.sony.co.uk/electronics/cameras?perf=1427946604","3548","908","","40361","877404","4","10","58","50","4","2","0","2","0","2695","","","","8516","","","","","0","","","2","0","3548","","","1","75","92","-1","96","-1","100","-1","-1","100","6949","177187","1","2","8","7","1","0","0","0","100","","","-1","","","","942","200","187260","5640","","","276635","0","0","1","","1237","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1381","3342","4019","2960","3341","8892","Google Chrome","41.0.2272.101","1","39","Akamai","0","2","0","5676",
"04/02/2015","04:11:54","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427946604","5597","166","","43792","2019586","0","5","49","42","3","2","0","2","0","1990","","","","9458","","","","","0","","","2","0","5597","","","1","75","93","-1","100","-1","100","-1","-1","100","22443","675713","0","3","20","17","1","2","0","0","100","","","-1","","","","229","200","189946","0","","","28485","0","0","1","","1824","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","494","5389","6817","1675","2089","9003","Google Chrome","41.0.2272.101","1","39","Akamai","0","2","0","5676",
"04/02/2015","04:12:11","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427946604","7920","123","","43318","2128017","8","13","55","47","3","3","0","2","0","2082","","","","12007","","","","","0","","","2","0","7920","","","1","66","93","-1","100","-1","100","-1","-1","100","20409","1697052","2","4","30","28","0","2","0","0","100","","","-1","","","","203","200","652625","0","","","105162","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","477","7846","8844","1919","2278","9886","Google Chrome","41.0.2272.101","2","39","Akamai","0","2","0","5676",
"04/02/2015","04:12:33","","http://www.sony.co.uk/?perf=1427946604","3405","1159","","20632","45109","8","4","20","13","3","2","0","2","0","1372","","","","4666","","","","","0","","","2","0","3405","","","1","25","66","-1","100","-1","100","-1","-1","100","11090","39227","2","2","9","6","1","2","0","0","-1","","","-1","","","","1159","200","2493","0","","","0","0","0","1","","915","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","270","3180","3769","1251","1494","4173","Google Chrome","41.0.2272.101","8","32","","0","2","0","5676",
"04/02/2015","04:12:45","","http://www.sony.co.uk/electronics/cameras?perf=1427946604","1938","1313","","19437","11015","2","2","19","13","2","2","0","2","0","1491","","","","5619","","","","","0","","","2","0","1938","","","1","0","0","-1","100","-1","100","-1","-1","100","2138","2400","2","1","3","3","0","0","0","0","-1","","","-1","","","","1313","200","2757","0","","","0","0","0","1","","1251","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","289","1877","2385","1605","1877","5799","Google Chrome","41.0.2272.101","12","32","","0","2","0","5676",
"04/02/2015","04:12:59","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427946604","4485","1196","","20977","11419","0","2","19","12","3","2","0","2","0","1171","","","","6986","","","","","0","","","2","0","4485","","","1","0","0","-1","100","-1","100","-1","-1","100","6892","2972","0","0","5","3","0","2","0","0","-1","","","-1","","","","1196","200","3434","0","","","0","0","0","1","","1838","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","468","4440","6021","1438","1754","7073","Google Chrome","41.0.2272.101","12","32","","0","2","0","5676",
"04/02/2015","04:13:15","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427946604","5563","1181","","25328","33766","1","7","24","17","3","2","0","2","0","1596","","","","9669","","","","","0","","","2","0","5563","","","1","0","50","-1","100","-1","100","-1","-1","100","6848","3311","0","2","7","4","1","2","0","0","-1","","","-1","","","","1181","200","13094","0","","","0","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","0","5576","6915","1550","1893","8305","Google Chrome","41.0.2272.101","12","32","","0","2","0","5676",
