"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"04/02/2015","04:26:52","","http://www.sony.co.uk/?perf=1427948796","7461","498","","49841","2615561","25","42","91","81","6","1","0","3","0","4525","","","","10628","","","","","0","","","2","0","7461","","","1","71","88","-1","100","-1","98","-1","-1","100","21651","2190164","10","23","48","46","1","1","0","0","100","","","-1","","","","530","200","1458580","0","","","557719","0","0","1","","920","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","886","7352","8193","2915","3351","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","1","0","5282",
"04/02/2015","04:27:12","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","3545","1095","","40481","877352","4","10","58","50","4","2","0","2","0","2892","","","","8230","","","","","0","","","2","0","3545","","","1","75","92","-1","96","-1","100","-1","-1","100","7015","177189","1","2","8","7","1","0","0","0","100","","","-1","","","","1132","200","187217","5640","","","276635","0","0","1","","1237","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1583","3475","4145","3164","3474","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","1","0","5282",
"04/02/2015","04:27:29","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","6628","758","","45373","2020027","0","4","51","42","3","2","0","5","0","2492","","","","10501","","","","","0","","","2","0","6628","","","1","75","93","-1","100","-1","100","-1","-1","100","22720","675972","0","2","20","17","0","2","0","0","100","","","-1","","","","798","200","190011","0","","","28485","0","0","1","","1824","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","1191","6541","7839","2249","2600","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","1","0","5282",
"04/02/2015","04:27:48","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","8529","868","","43266","2128085","8","12","55","47","3","3","0","2","0","2576","","","","12818","","","","","0","","","2","0","8529","","","1","66","93","-1","100","-1","100","-1","-1","100","21091","1697645","2","3","31","28","1","2","0","0","100","","","-1","","","","985","200","652673","0","","","105162","0","0","1","","1835","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","1174","8297","9240","2485","2832","0","Google Chrome","41.0.2272.101","1","29","Akamai","0","1","0","5282",
"04/02/2015","04:28:10","","http://www.sony.co.uk/?perf=1427948796","3378","1165","","22975","45755","7","4","23","13","3","2","0","5","0","1190","","","","4587","","","","","0","","","2","0","3378","","","1","25","66","-1","100","-1","100","-1","-1","100","10624","38571","2","2","8","6","0","2","0","0","-1","","","-1","","","","1165","200","2495","0","","","0","0","0","1","","917","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","188","3296","3900","1285","1489","0","Google Chrome","41.0.2272.101","8","30","","0","1","0","5282",
"04/02/2015","04:28:22","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","1774","1177","","19473","10995","2","1","19","13","2","2","0","2","0","1472","","","","5063","","","","","0","","","2","0","1774","","","1","0","0","-1","100","-1","100","-1","-1","100","2137","2388","2","1","3","3","0","0","0","0","-1","","","-1","","","","1177","200","2764","0","","","0","0","0","1","","1251","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","275","1672","2191","1425","1671","0","Google Chrome","41.0.2272.101","12","30","","0","1","0","5282",
"04/02/2015","04:28:36","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability%26perf=1427948796","4431","1257","","21035","11396","1","2","19","12","3","2","0","2","0","1671","","","","6786","","","","","0","","","2","0","4431","","","1","0","0","-1","100","-1","100","-1","-1","100","6959","2993","0","0","5","3","0","2","0","0","-1","","","-1","","","","1257","200","3437","0","","","0","0","0","1","","1838","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","572","4371","5802","1341","1685","0","Google Chrome","41.0.2272.101","12","30","","0","1","0","5282",
"04/02/2015","04:28:51","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=1427948796","5240","1123","","37539","66188","3","6","30","22","4","2","0","2","0","1212","","","","11158","","","","","0","","","2","0","5240","","","1","12","80","-1","100","-1","100","-1","-1","100","6900","3294","0","0","7","4","1","2","0","0","-1","","","-1","","","","1123","200","13084","0","","","0","0","0","1","","1859","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","207","5129","6601","1577","1877","0","Google Chrome","41.0.2272.101","12","30","","0","1","0","5282",
"04/02/2015","04:35:21","","http://www.sony.co.uk/?perf=1427948796","7577","518","","49751","2644879","24","40","91","82","6","1","0","2","0","4999","","","","10793","","","","","0","","","2","0","7577","","","1","72","88","-1","100","-1","98","-1","-1","100","22151","2204977","9","22","49","47","1","1","0","0","100","","","-1","","","","555","200","1453237","0","","","557719","0","0","1","","918","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","900","7509","8307","2836","3271","0","Google Chrome","41.0.2272.101","1","40","Akamai","0","2","0","1819",
"04/02/2015","04:35:40","","http://www.sony.co.uk/electronics/cameras?perf=1427948796","3431","966","","40353","877403","4","10","58","50","4","2","0","2","0","2775","","","","8197","","","","","0","","","2","0","3431","","","1","75","92","-1","96","-1","100","-1","-1","100","6948","177194","1","2","8","7","1","0","0","0","100","","","-1","","","","1056","200","187288","5640","","","276635","0","0","1","","1237","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1275","3357","4061","3049","3356","0","Google Chrome","41.0.2272.101","1","32","Akamai","0","2","0","1819",
